;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A;LH Quad Squat;4;10;52,5;8;63,5;6;75;15;52,5;;;;;;;;;;;;;;;;;;;;;;;
B;LH RDL;4;6;50;8;60;;70;;;;;;;;;;;;;;;;;;;;;;;;;
C1;Latzug schulterbreit neutral;4;10;180/2;8;190/2+10;6;190/2+20;15;180/2;;;;;;;;;;;;;;;;;;;;;;;
C2;30° KH drücken rotierend;4;10;16;8;19;6;22;15;16;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45° BackX statt LH RDL, weil unterer Rücken zu schwach;;;;;;;;;;;;;;;;;;;;;;;;;;;3 sec. Runter gehen / 1 sec. Unten halten /1 sec. Hoch gehen / 0 sec. Oben halten;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A;LH Quad Squat;4;10;52,5;8;63,5;7;75;15;52,5;;;;;;;;;;;;;;;;;;;;;;;
B;45° BackX;4;10;10;8;15;7;20;15;10;;;;;;;;;;;;;;;;;;;;;;;
C1;Latzug schulterbreit neutral;4;10;82,5kg;8;100kg;5;118kg;15;82,5kg;;;;;;;;;;;;;;;;;;;;;;;
C2;30° KH drücken rotierend;4;10;16;8;19;7;22;15;16;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Zum Beispiel: Tempo 3/1/1/0 für Squats;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;3 sec. Runter gehen / 1 sec. Unten halten /1 sec. Hoch gehen / 0 sec. Oben halten;;;;;;
21/1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A;LH Quad Squat;4;10;56;8;68;7;80;15;55;;;;;;;;;;;;;;;;;;;;;;;
B;45° BackX;4;10;15;8;18;6;21;15;12,5;;;;;;;;;;;;;;;;;;;;;;;
C1;Latzug schulterbreit neutral;4;10;82,5kg;8;100kg;6;118kg;15;82,5kg;;;;;;;;;;;;;;;;;;;;;;;
C2;30° KH drücken rotierend;4;10;16;8;19,5;6;S;15;16;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;3 sec. Runter gehen / 1 sec. Unten halten /1 sec. Hoch gehen / 0 sec. Oben halten;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Neutral = Neutraler Griff;;;;;;
23/1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A;LH Quad Squat;4;10;57,5;8;70;6;82,5;15;55;;;;;;;;;;;;;;;;;;;;;;;
B;45° BackX;4;10;15,5;8;15,5;8;15,5;15;17,5;;;;;;;;;;;;;;;;;;;;;;;
C1;Latzug schulterbreit neutral;4;10;82,5kg;8;100kg;6;118kg;15;82,5kg;;;;;;;;;;;;;;;;;;;;;;;
C2;30° KH drücken rotierend;4;10;16;8;19,5;7;23;15;16;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B Serie volle Glute ansteuerung und Rückenstrecker rausgenommen;;;;;;;;;;;;;;;;;;;;;;;;;;;3 sec. Runter gehen / 1 sec. Unten halten /1 sec. Hoch gehen / 0 sec. Oben halten;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
