;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A1;Lying Leg Curl Zehen ausgestreckt neutral;3;8;70/4+2,5;8;80/4+2,5;8;90/4+2,5;;;;;;;;;;;;;;;;;;;;;;;;;
A2;45° BackX;3;10;KG;10;KG;10;Kg;;;;;;;;;;;;;;;;;;;;;;;;;
B1;Klimmzug semi supiniert;3;AMRAP;KG;AMRAP;KG;AMRAP;KG;;;;;;;;;;;;;;;;;;;;;;;;;
B2;Rudern m Seil z Hals neutral;3;12;110/4;12;120/4;9;130/4;;;;;;;;;;;;;;;;;;;;;;;;;
C;Walking Lunges;2;8 e/s;Kg;8 e/s;KG;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;3 sec. Runter gehen / 1 sec. Unten halten /1 sec. Hoch gehen / 0 sec. Oben halten;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A1;Lying Leg Curl Zehen ausgestreckt neutral;3;8;80/4+5;8;90/4+5;5;100/4+5;;;;;;;;;;;;;;;;;;;;;;;;;
A2;45° BackX;3;10;KG;10;KG;10;Kg;;;;;;;;;;;;;;;;;;;;;;;;;
B1;Klimmzug semi supiniert;3;AMRAP;KG;AMRAP;KG;AMRAP;KG;;;;;;;;;;;;;;;;;;;;;;;;;
B2;Rudern m Seil z Hals neutral;3;12;110/4;12;120/4;9;130/4;;;;;;;;;;;;;;;;;;;;;;;;;
C;Walking Lunges;2;8 e/s;Kg;8 e/s;KG;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;3 sec. Runter gehen / 1 sec. Unten halten /1 sec. Hoch gehen / 0 sec. Oben halten;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/3;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A1;Lying Leg Curl Zehen ausgestreckt neutral;3;8;80/4+5;8;100/4+5;5;120/4+5;;;;;;;;;;;;;;;;;;;;;;;;;
A2;Kings Deadlift;3;8 e/s;7,5;8 e/s;10;10;12,5;;;;;;;;;;;;;;;;;;;;;;;;;
B1;Klimmzug semi supiniert;3;AMRAP;KG;AMRAP;KG;AMRAP;KG;;;;;;;;;;;;;;;;;;;;;;;;;
B2;Rudern m Seil z Hals neutral;3;12;110/4;12;120/4;9;130/4;;;;;;;;;;;;;;;;;;;;;;;;;
C;Walking Lunges;2;8 e/s;Kg;8 e/s;KG;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Neutral = Neutraler Griff;;;;;;
1/4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A1;90° BackX;3;8;KG;8;KG;8;KG;;;;;;;;;;;;;;;;;;;;;;;;;
A2;Kings Deadlift;3;8 e/s;11,5;8 e/s;13;8 e/s;13,5;;;;;;;;;;;;;;;;;;;;;;;;;
B1;Klimmzug semi supiniert;3;1;KG;AMRAP;KG;AMRAP;KG;;;;;;;;;;;;;;;;;;;;;;;;;
B2;Rudern m Seil z Hals neutral;3;8;15;7;20;6;22,5;;;;;;;;;;;;;;;;;;;;;;;;;
X;Walking Lunges;2;8 e/s;Kg;8 e/s;KG;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
